"","nuc.power1","nuc.power2","CO2Price","ban.fuel.explore1","ban.fuel.explore2","RFS1","RFS2","id","p1.utility","p2.utility","p3.utility","p4.utility","group.score","group.sd","var.total","mean.total","new.utility"
"71",1,0,120,0,1,1,0,18,1.05190422428685,-23.5124539095798,-1.26023059843649,0.161990238920129,-5.88969751120232,11.7870305315076,0.399231095188583,0.848777670891523,2.07527614449411
"72",1,0,120,0,0,0,0,114,-5.38395952935548,-7.07494851544404,-3.43293167527573,0.966757903624573,-3.73127045411267,3.46756593949881,0.86105642727335,0.237081290532843,2.03831737391193
"73",0,0,30,0,1,0,0,75,-3.44361169319944,-7.11678848489124,-2.45214091663678,0.408097264650438,-3.15111095751925,3.10744682004848,0.617080946176933,0.502137008835069,2.02698271224299
"74",0,1,0,1,0,1,0,28,-9.80215140219878,-24.3721902888599,-2.60630438866879,-2.12549351387508,-9.72653489840065,10.3758445810887,0.617080946176933,0.442325453665523,1.96717115707345
"75",1,0,0,0,0,0,0,138,-5.38395952935548,-7.07494851544404,-3.43293167527573,0.966757903624573,-3.73127045411267,3.46756593949881,0.735057345990227,0.237081290532843,1.90131932475672
"76",0,1,120,1,0,0,0,7,-10.522922647143,-8.2003615325964,-3.56627737678842,-0.81711371797715,-5.77666881862625,4.39257816849386,0.760947028323861,0.200966013348187,1.89425874683363
"77",0,1,0,0,0,0,1,20,-6.04528318519567,18.8599254515898,-1.52953097679824,0.400964306372448,2.92151889899209,10.9635970907367,1.69963285166551,-0.645103146434528,1.88554863624959
"78",1,0,60,0,0,1,0,81,-4.66318828441122,-23.2467772717076,-2.47295868715609,-0.341621892273356,-7.68113653388706,10.5260118258381,0.523276221414032,0.47844073085018,1.88261280629386
"79",1,0,150,1,0,0,0,134,-2.26972045038411,-6.00572333830152,-0.884666839893325,-0.0860786569253386,-2.31154732137607,2.62280922015897,0.925032243726919,-0.0113046304550622,1.85564786536843
"80",0,0,0,0,0,1,0,150,-8.43793295695324,-23.0229406032826,-2.70489601723676,-1.40389466244098,-8.89241605997839,9.90356225070155,0.574254964199883,0.373159509111063,1.84414101007769
"81",0,0,150,1,0,1,0,101,-5.32369387798188,-21.9537154261401,-0.156631181854354,-2.45673122299089,-7.47269292724179,9.88269262917333,0.764047310897141,0.124773588123157,1.82151225772492
"82",0,0,120,1,0,1,0,78,-7.89735845732439,-23.3005532993143,-0.923184836274655,-1.73845035939349,-8.46488673807672,10.3688846169328,1.61668966861507,-0.686331937129008,1.78179881643852
"83",0,0,150,0,1,0,1,9,4.1482668477193,21.0127236764375,2.13287031873581,0.573338728450124,6.96679989283568,9.47761088476465,1.48313142479007,-0.592318071935552,1.77166656833099
"84",1,0,60,0,0,0,0,42,-5.38395952935548,-7.07494851544404,-3.43293167527573,0.966757903624573,-3.73127045411267,3.46756593949881,0.580148603574781,0.237081290532843,1.7155919419821
"85",0,1,60,0,1,0,1,159,-0.330190676497597,18.5942488137176,-0.316802888078626,0.904576437565933,4.71295792167683,9.27228572943036,1.03466168666852,-0.274766206393184,1.69971959821782
"86",0,1,90,1,0,0,0,88,-10.522922647143,-8.2003615325964,-3.56627737678842,-0.81711371797715,-5.77666881862625,4.39257816849386,0.576114727102345,0.200966013348187,1.67432752463915
"87",0,1,60,1,0,0,0,128,-10.522922647143,-8.2003615325964,-3.56627737678842,-0.81711371797715,-5.77666881862625,4.39257816849386,0.574254964199883,0.200966013348187,1.67194751431481
"88",0,1,150,0,0,0,1,93,-3.47161860585316,20.2067633247641,-0.762977322377935,-0.317316557224948,3.91371270982701,10.9510981991038,0.580148603574781,0.166002378817637,1.64451303026689
"89",0,1,90,1,0,1,0,65,-9.80215140219878,-24.3721902888599,-2.60630438866879,-2.12549351387508,-9.72653489840065,10.3758445810887,0.361053451247672,0.442325453665523,1.60870684533944
"90",1,0,120,1,0,1,0,86,-4.12261378478236,-23.5243899677393,-0.691247506193993,-0.676177589225871,-7.25360721198539,10.9676590737902,1.25934048590479,-0.58105071538989,1.59729303851502
"91",0,1,0,0,1,0,1,76,-0.330190676497597,18.5942488137176,-0.316802888078626,0.904576437565933,4.71295792167683,9.27228572943036,0.925032243726919,-0.274766206393184,1.59218628943031
"92",0,1,0,1,0,0,0,157,-10.522922647143,-8.2003615325964,-3.56627737678842,-0.81711371797715,-5.77666881862625,4.39257816849386,0.486165976469122,0.200966013348187,1.55443127355043
"93",0,1,120,0,0,0,1,67,-6.04528318519567,18.8599254515898,-1.52953097679824,0.400964306372448,2.92151889899209,10.9635970907367,1.26193255275106,-0.645103146434528,1.53548126843883
"94",0,0,90,0,0,0,0,15,-9.15870420189751,-6.85111184701903,-3.66486900535639,-0.0955148665430468,-4.94254998020399,3.93889929155825,0.520201135465115,0.131800068793726,1.5318401847976
"95",1,0,90,0,1,0,1,148,5.34934694091882,19.4420491348382,1.59825399439617,2.35389236221514,7.18588560809208,8.32979000233377,2.12083363435985,-1.2981423754486,1.52874257074128
"96",1,0,0,1,0,1,0,107,-4.12261378478236,-23.5243899677393,-0.691247506193993,-0.676177589225871,-7.25360721198539,10.9676590737902,1.14360159640119,-0.58105071538989,1.49478131292723
"97",0,0,120,0,0,0,0,144,-9.15870420189751,-6.85111184701903,-3.66486900535639,-0.0955148665430468,-4.94254998020399,3.93889929155825,0.492704343048538,0.131800068793726,1.49433619897991
"98",0,0,60,1,0,1,0,119,-7.89735845732439,-23.3005532993143,-0.923184836274655,-1.73845035939349,-8.46488673807672,10.3688846169328,1.25934048590479,-0.686331937129008,1.4920118167759
"99",0,0,0,0,0,0,0,109,-9.15870420189751,-6.85111184701903,-3.66486900535639,-0.0955148665430468,-4.94254998020399,3.93889929155825,0.486165976469122,0.131800068793726,1.48526532899596
"100",0,0,120,1,0,0,0,79,-8.61812970226865,-7.12872454305079,-1.88315782439429,-0.430070563495562,-4.51502065830232,3.96990642532019,1.48313142479007,-0.927691377446344,1.4362932628202
"101",0,1,30,0,1,0,1,55,-0.330190676497597,18.5942488137176,-0.316802888078626,0.904576437565933,4.71295792167683,9.27228572943036,0.67245050740306,-0.274766206393184,1.3170209448781
"102",1,0,90,0,0,0,0,31,-5.38395952935548,-7.07494851544404,-3.43293167527573,0.966757903624573,-3.73127045411267,3.46756593949881,0.307136151686227,0.237081290532843,1.31285345114365
"103",0,1,120,0,1,0,1,70,-0.330190676497597,18.5942488137176,-0.316802888078626,0.904576437565933,4.71295792167683,9.27228572943036,0.617080946176933,-0.274766206393184,1.25007949701474
"104",0,0,90,1,0,1,0,97,-7.89735845732439,-23.3005532993143,-0.923184836274655,-1.73845035939349,-8.46488673807672,10.3688846169328,0.991897245989859,-0.686331937129008,1.24691875446541
"105",0,0,30,1,0,1,0,130,-7.89735845732439,-23.3005532993143,-0.923184836274655,-1.73845035939349,-8.46488673807672,10.3688846169328,0.991897245989859,-0.686331937129008,1.24691875446541
"106",1,0,90,1,0,1,0,102,-4.12261378478236,-23.5243899677393,-0.691247506193993,-0.676177589225871,-7.25360721198539,10.9676590737902,0.86105642727335,-0.58105071538989,1.22018536798919
"107",1,0,120,0,0,0,1,112,-0.365745567779246,19.7077257727104,0.385525905676558,1.85028023102165,5.39444658540735,9.58645183333768,2.18329059055717,-1.66847931548994,1.19972842513045
"108",1,0,30,1,0,0,0,12,-4.84338502972662,-7.3525612114758,-1.65122049431363,0.632202206672057,-3.303741132211,3.51121639848593,1.08514537813933,-0.822410155707227,1.19967198982225
"109",0,0,150,1,0,0,0,98,-6.04446512292614,-5.78188666987652,-1.11660416997399,-1.14835142709296,-3.5228268474674,2.76224859906608,0.405041209692588,-0.11658585219418,1.11880516088235
"110",0,1,60,0,0,0,1,38,-6.04528318519567,18.8599254515898,-1.52953097679824,0.400964306372448,2.92151889899209,10.9635970907367,0.820067758266278,-0.645103146434528,1.11273830281873
